T;Kp;Ra;Rt;OEE;MTTc;MPROD;CP;MO;ROI;TIR;TIRM;VPL;C_ENER;WR;MTTF;MRL
66,000;3,660;0,620;3,000;0,530;210,024;133,688;166,011;0,012;0,076;0,992;0,326;17180617,797;108625,165;0,004;68,306;2,306
33,000;2,330;0,640;3,000;0,392;155,256;222,430;165,331;0,016;0,169;2,116;0,429;40301429,839;107372,128;0,009;33,785;0,785
54,000;3,470;2,140;7,260;0,394;156,230;223,826;165,149;0,017;0,182;2,269;0,439;43465633,135;107396,995;0,006;54,742;0,742
30,000;2,170;2,150;7,420;0,249;98,834;318,818;164,826;0,019;0,289;3,549;0,505;69825718,679;106083,115;0,011;32,362;2,362
63,000;5,200;0,650;3,020;0,530;209,916;133,619;165,997;0,012;0,076;0,999;0,327;17318412,345;108626,709;0,004;65,843;2,843
31,500;3,010;0,620;2,840;0,391;155,138;222,261;165,394;0,016;0,165;2,063;0,426;39215559,827;107363,595;0,010;32,362;0,862
53,000;4,610;1,930;6,780;0,394;156,201;223,784;165,145;0,017;0,182;2,273;0,439;43542379,090;107397,598;0,007;53,808;0,808
31,500;1,790;2,390;8,280;0,249;98,887;318,989;164,826;0,019;0,289;3,549;0,505;69825718,679;106083,115;0,011;33,578;2,078
60,500;5,510;0,670;2,900;0,539;213,734;126,920;166,139;0,011;0,067;0,891;0,312;15100011,737;108713,638;0,004;62,672;2,172
25,500;1,870;1,170;4,620;0,274;108,623;300,894;164,947;0,018;0,262;3,228;0,491;63210028,061;106305,891;0,013;27,458;1,958
40,000;4,320;0,310;1,840;0,536;212,423;126,142;166,444;0,009;0,056;0,753;0,290;12273040,910;108681,215;0,007;42,432;2,432
41,500;2,580;2,140;7,440;0,276;109,234;302,588;164,817;0,019;0,275;3,384;0,498;66440815,837;106322,796;0,008;43,498;1,998
51,500;2,280;1,200;4,560;0,365;144,697;243,188;165,027;0,018;0,207;2,562;0,457;49499871,450;107136,053;0,006;52,202;0,702
48,500;3,460;0,700;3,100;0,365;144,611;243,044;165,048;0,018;0,205;2,543;0,456;49105071,885;107133,215;0,006;49,169;0,669
43,500;3,470;0,810;3,940;0,364;144,442;242,760;165,072;0,017;0,203;2,520;0,454;48635953,450;107129,842;0,007;44,284;0,784
44,500;3,420;0,820;3,150;0,365;144,479;242,822;165,075;0,017;0,203;2,517;0,454;48571030,496;107129,375;0,007;45,284;0,784
42,500;3,530;0,830;3,320;0,364;144,404;242,696;165,069;0,017;0,203;2,523;0,454;48699366,494;107130,298;0,007;43,284;0,784
43,250;3,410;0,810;3,960;0,364;144,433;242,745;165,079;0,017;0,203;2,514;0,454;48504543,055;107128,897;0,007;44,034;0,784
44,000;3,360;0,830;3,820;0,367;145,538;240,956;165,081;0,017;0,201;2,495;0,453;48110363,823;107154,710;0,006;44,784;0,784
